lat,lng,name,osm_accuracy,population,district,subject,density,ivl_per_100k,ivl_number,ekmo_per_100k,ekmo_number,life_quality_place_rating,ecology,cleanness,public_services,neighbourhood,children_places,sport_and_outdoor,shops_and_malls,public_transport,security,life_costs,inf_rate,avg_temp_min,avg_temp_max,avg_temp_std,avg_temp_median,humidity_min,humidity_max,humidity_std,humidity_median,pressure_min,pressure_max,pressure_std,pressure_median,wind_speed_ms_min,wind_speed_ms_max,wind_speed_ms_std,wind_speed_ms_median,region_x,urban_50-54_years,urban_55-59_years,urban_60-64_years,urban_65-69_years,urban_70-74_years,urban_75-79_years,urban_80-84_years,urban_85-89_years,urban_90-94_years,rural_50-54_years,rural_55-59_years,rural_60-64_years,rural_65-69_years,rural_70-74_years,rural_75-79_years,rural_80-84_years,rural_85-89_years,rural_90-94_years,work_ratio_15-72_years,work_ratio_55-64_years,work_ratio_15-24_years,work_ratio_15-64_years,work_ratio_25-54_years,num_patients_tubercul_1992,num_patients_tubercul_1993,num_patients_tubercul_1994,num_patients_tubercul_1995,num_patients_tubercul_1996,num_patients_tubercul_1997,num_patients_tubercul_1998,num_patients_tubercul_1999,num_patients_tubercul_2000,num_patients_tubercul_2001,num_patients_tubercul_2002,num_patients_tubercul_2003,num_patients_tubercul_2004,num_patients_tubercul_2005,num_patients_tubercul_2006,num_patients_tubercul_2007,num_patients_tubercul_2008,num_patients_tubercul_2009,num_patients_tubercul_2010,num_patients_tubercul_2011,num_patients_tubercul_2012,num_patients_tubercul_2013,num_patients_tubercul_2014,num_patients_tubercul_2015,num_patients_tubercul_2016,num_patients_tubercul_2017,volume_serv_household_2017,volume_serv_chargeable_2017,volume_serv_transport_2017,volume_serv_post_2017,volume_serv_accommodation_2017,volume_serv_telecom_2017,volume_serv_others_2017,volume_serv_veterinary_2017,volume_serv_housing_2017,volume_serv_education_2017,volume_serv_medicine_2017,volume_serv_disabled_2017,volume_serv_culture_2017,volume_serv_sport_2017,volume_serv_hotels_2017,volume_serv_tourism_2017,volume_serv_sanatorium_2017,num_phones_rural_2018,num_phones_urban_2019,bus_march_travel_18,bus_april_travel_18,epirank_avia,epirank_bus,epirank_train,epirank_avia_cat,epirank_bus_cat,epirank_train_cat,whole_population,urban,rural,has_metro
52.651054599999995,90.101159,Абаза,0.593507677970318,17111,Сибирский,Хакасия,8.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.176669933,-12.29,5.57,4.43393161018632,-2.57,48.71,82.43,9.4715468641611,67.29,736,749,4.2672618632472,741,1,9,2.51282425057657,4,Республика Хакасия,18725,23155.99,24849,21753,12647,6409,6580,2605,1235,9467,12105,11901,9621,4897,2448,2906,1219,434,56,23.6,35.79,62.2,80.8,222,269,312,324,460,856,672,716,676,712,802,719,752,736,637,548,605,634,528,527,515,372,330,321,286,275,2081914.89,17706314.19,2089184.1,109507.89,375875.7,3580675.3,518716.1,32559.6,1706341.2,1142503.6,755546.3,178749.6,285525.89,148893.6,235566,138562.9,271081.59,53847,16199.99,21414,22186,-1.0,2.28E-11,-1.0,-1.0,0,-1.0,64241,44921,19320,0
53.7209024,91.442435,Абакан,0.609790990910155,165183,Сибирский,Хакасия,8.68,0.0,0.0,0.0,0.0,26.0,93.0,61.0,11.0,25.0,64.0,45.0,51.0,5.0,31.0,17.0,4.421620377,-12.29,5.57,4.43393161018632,-2.57,48.71,82.43,9.4715468641611,67.29,736,749,4.2672618632472,741,1,9,2.51282425057657,4,Республика Хакасия,18725,23155.99,24849,21753,12647,6409,6580,2605,1235,9467,12105,11901,9621,4897,2448,2906,1219,434,56,23.6,35.79,62.2,80.8,222,269,312,324,460,856,672,716,676,712,802,719,752,736,637,548,605,634,528,527,515,372,330,321,286,275,2081914.89,17706314.19,2089184.1,109507.89,375875.7,3580675.3,518716.1,32559.6,1706341.2,1142503.6,755546.3,178749.6,285525.89,148893.6,235566,138562.9,271081.59,53847,16199.99,21414,22186,0.0009033557273906,8.34E-10,0.0013830926188929,0,1,0,64241,44921,19320,0
53.6828,53.655701,Абдулино,0.58718281351088,20663,Приволжский,Оренбургская область,15.95,27.7,542,0.05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.496098992,-6.71,5.71,3.9179911033225,-1,70.43,91.86,7.82752712881795,85.29,745,771,8.39103830342368,759,1,5,1.18321595661992,4,Оренбургская область,65561,81799,80373.99,64567.99,41731,22722,27330,8518,4254,54073.99,67288,61433.99,44975,27214.99,17180.99,21453.99,6733,3378.99,57.9,36.2,23.2,63.8,83.6,772,884,940,1043,1155,1328,1632,1718,1851,1661,2135,1909,1038,2124,2371,2312,2405,2237,2030,1952,1778,1798,1614,1574,1494,1295,9287020.8,83376940.59,11807432.4,358862.3,1061589.39,12352723.39,2317287.79,204331.5,7240938.8,5053414.5,5283968.6,58508.2,939338.8,601793.19,1233797.3,1445976.6,915284.5,306123.99,106326,135226.1,133554.9,-1.0,5.16E-14,0.0003758315736701,-1.0,0,0,270081,156761,113320,0
44.8649528,38.1578189,Абинск,0.5978643972223641,34926,Южный,Краснодарский край,73.73,17.6,1000,0.07,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.636086515,5.14,16.86,3.58279991600078,12.5,48.43,81.57,9.8049247587021,67.43,756,766,3.16679197747048,762,2,6,1.04653623694456,3,Краснодарский край,181771,206916,198170.99,179246.99,124592,72718.99,80976.99,24048.99,10715.99,154571,186884,178566.99,154503,99462,65497.99,76176.99,21533.99,12139.99,64.59,52.4,23.5,72.2,89.3,1530,1915,2197,2078,2242,2001,2852,3279,3710,3741,3637,3620,3573,3276,3105,3676,3653,3443,3623,254,3352,2953,2659,2443,2135,1981,65461511.7,479806103.39,77709820.79,2281604,24220986.6,59673149.39,15273758.5,1228448.8,17486987.39,26762438.69,19799493.7,351889.2,7763936.9,4763420,49853516.5,7880288.2,16026330.39,589577.99,315344,329792.1,328273.8,-1.0,1.19E-14,0.0001859509308592,-1.0,0,0,847286,452437,394849,0
56.525459700000006,52.9972512,Агрыз,0.596614665199801,19299,Приволжский,Татарстан,57.27,28.2,1100,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.448397103,-2.14,5,2.07185631051686,2.14,66.43,92.14,7.82648239419643,76.86,739,766,8.1298977911926,758,2,7,1.35576371027374,5,Республика Татарстан,168745.99,211818.99,204298.99,160730.99,102643,54302,60033.99,24832.99,10697,68434.99,76880.99,67086.99,49885.99,31964.99,25153,31070.99,15329.99,6277,67.59,47.7,29.4,74.09,93.1,1195,1261,1462,2367,2533,2522,2627,2494,2832,2704,2713,2464,2298,2308,2298,2207,2221,2203,2020,1898,1816,1596,1629,1524,1427,1300,40838346,267909947.19,44363590.59,394884.4,4134522.59,26988392,11023179.49,559497,17866739.6,27483627.3,18770341.6,177413.8,4710889.5,3687193.5,5292473.8,3577782.5,2956238.8,647134.99,144303.99,157885,162064.9,-1.0,4.75E-13,0.0010030757740046,-1.0,0,0,527462,371965,155497,0
54.862955500000005,53.0792275,Азнакаево,0.5950572107405551,34859,Приволжский,Татарстан,57.27,28.2,1100,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.646516829,-2.14,5,2.07185631051686,2.14,66.43,92.14,7.82648239419643,76.86,739,766,8.1298977911926,758,2,7,1.35576371027374,5,Республика Татарстан,168745.99,211818.99,204298.99,160730.99,102643,54302,60033.99,24832.99,10697,68434.99,76880.99,67086.99,49885.99,31964.99,25153,31070.99,15329.99,6277,67.59,47.7,29.4,74.09,93.1,1195,1261,1462,2367,2533,2522,2627,2494,2832,2704,2713,2464,2298,2308,2298,2207,2221,2203,2020,1898,1816,1596,1629,1524,1427,1300,40838346,267909947.19,44363590.59,394884.4,4134522.59,26988392,11023179.49,559497,17866739.6,27483627.3,18770341.6,177413.8,4710889.5,3687193.5,5292473.8,3577782.5,2956238.8,647134.99,144303.99,157885,162064.9,-1.0,2.10E-14,-1.0,-1.0,0,-1.0,527462,371965,155497,0
47.0884477,39.424074559130396,Азов,0.633784277105689,82882,Южный,Ростовская область,41.87,15.3,643,0.05,2.0,174.0,120.0,114.0,148.0,89.0,170.0,188.0,185.0,210.0,217.0,162.0,3.282622113,3.29,15.29,3.51233310059336,11.29,42,76.86,10.1479265064816,66.43,753,765,3.63841933236057,760,1,5,1.33452327853521,3,Ростовская область,165850,196520.99,191840.99,172330,119397.99,72029,82917.99,26453.99,11798,87358.99,107964.99,100362.99,80691,50455,34810,39256,11841.99,5732,63.5,48.2,25,69.2,85.7,1440,1573,1843,1970,2134,2222,2254,2913,3196,3251,3432,3487,3622,3509,3121,3248,3175,3044,3020,185,2542,2235,1981,1940,1691,1712,40710308.2,214509695,26070934.2,1119143.29,890382.7,29732454.2,6058792,617009.5,11711900.19,17022161.6,15981185.89,863749.7,4006867.5,2263252.49,2192022.9,2764336.5,567561.4,556464,123387.99,231363.8,243726.6,-1.0,6.97E-14,-1.0,-1.0,0,-1.0,665244,455615,209629,0
47.268696000000006,39.861362,Аксай,0.589467215043441,41984,Южный,Ростовская область,41.87,15.3,643,0.05,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.145320739,3.29,15.29,3.51233310059336,11.29,42,76.86,10.1479265064816,66.43,753,765,3.63841933236057,760,1,5,1.33452327853521,3,Ростовская область,165850,196520.99,191840.99,172330,119397.99,72029,82917.99,26453.99,11798,87358.99,107964.99,100362.99,80691,50455,34810,39256,11841.99,5732,63.5,48.2,25,69.2,85.7,1440,1573,1843,1970,2134,2222,2254,2913,3196,3251,3432,3487,3622,3509,3121,3248,3175,3044,3020,185,2542,2235,1981,1940,1691,1712,40710308.2,214509695,26070934.2,1119143.29,890382.7,29732454.2,6058792,617009.5,11711900.19,17022161.6,15981185.89,863749.7,4006867.5,2263252.49,2192022.9,2764336.5,567561.4,556464,123387.99,231363.8,243726.6,-1.0,1.36E-13,-1.0,-1.0,0,-1.0,665244,455615,209629,0
57.850811,61.695,Алапаевск,0.613774447066366,38198,Уральский,Свердловская область,22.2,35,1510,0.05,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.486146997,-6.29,7.43,3.43793501143595,0.86,44.57,93.86,15.7494659622235,73.57,724,753,8.26063528053955,741,3,8,1.62422142520508,5,Свердловская область,204332.99,239794,241903.99,217770.99,141359,73217,87066,31828.99,12529,38569.99,50140,53146,44800,26469,14085,18431,7500,3491,64,46.5,31.8,70.4,86.5,1604,2093,2436,3075,3979,4181,3949,4291,4869,4582,4831,4504,4435,4606,4620,4913,5270,4682,4663,4745,4317,4088,3994,4036,3753,3147,33807991.09,359375331.19,89106957.49,1002631.2,5721832.9,35325618.29,5425208.4,401787.9,28568849.9,24943104.6,28216405.6,517543.8,4529400,2163263.69,5356646.7,15067269.5,5035052.6,787730,48167.99,234064.4,237002.1,-1.0,8.02E-13,-1.0,-1.0,0,-1.0,623170,518601,104569,0
54.84582955,46.5627484284573,Алатырь,0.5886688924656,38202,Приволжский,Чувашия,67.27,34.7,422,0.08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.812846537,-1.57,5.86,2.14221136301008,2.71,66.57,98.83,10.1163271144083,84,734,762,8.2363884827086,753,1,9,2.18653890451379,5,Республика Чувашия,45837,52383,50569,40031,25520.99,13701,13546,5172,2151,36842.99,40448,36911,27246.99,17318,11813,14750,8001,2724,62.3,41.2,32.4,68.4,85.9,431,456,526,732,957,1184,886,995,1062,997,1148,954,1084,1054,1052,994,1087,1032,939,907,811,729,715,647,606,540,5989574.8,48212637.9,6405276.1,266485.39,758948.6,7286455.8,1103205.39,104197.5,4063295.4,3491114.9,3570215.6,343485.6,598229,265350,522183.49,914119,707333.6,133295,33412,66349.1,68861.4,-1.0,7.03E-14,6.73E-05,-1.0,0,0,169455,89861,79594,0
58.608414,125.388222,Алдан,0.605947875397728,21277,Дальневосточный,Якутия,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.451863159,-26.33,-10.14,4.31399958054615,-21.71,61.43,79.29,5.90983981734418,74.43,742,766,7.36659125149932,751,1,3,0.79880863671798,2,Республика Саха (Якутия),36973,40481,34262,25541.99,13894,6593,6033,2167.99,796,20254.99,23748.99,20776.99,14365,7810,3268,3543,1519,488,66.5,44.8,31.3,70.09,88.2,537,621,600,582,621,743,670,920,865,867,861,745,877,798,782,736,859,780,760,802,779,754,674,668,568,560,8146716.4,81826233.69,28572534.5,282934.09,246988.8,10347867,4919566.8,160080.79,4347449.9,5660873.9,2364314.9,57663.7,944184.8,249604.9,844755.59,668938.8,242407.9,83859,30451.99,37722,39905.7,-1.0,-1.0,4.53E-06,-1.0,-1.0,0,71631,46359,25272,0
52.4970221,82.7730755,Алейск,0.598513283078841,28528,Сибирский,Алтайский край,13.9,34.6,802,0.04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-15,3.14,4.63835592794318,-3.57,46.29,88.14,10.2935501303347,68.86,745,762,5.33005851839582,750,2,9,1.98086080374405,5,Алтайский край,69721,83446.99,92054,75849.99,52210.99,25620,29631,11227,5281,58490.99,82167.99,95146.99,71099.99,41631.99,19962,25445,10658,4752,57,36.29,23.1,64.3,84.2,1113,1403,1707,1784,1791,1888,2089,3294,3657,3702,3547,3354,3727,3716,3605,3317,3352,3248,2886,3033,2745,2640,2551,2554,2375,2129,9387735.19,88833545.19,9095718.1,582803.49,1921465.1,14457195.6,3799833.9,342669.6,5672632.7,5097460.8,4929186.4,902632.8,1026009.7,572016.89,1099237.1,966141.9,1746596.3,268458.99,179540.99,145360.9,148004.9,-1.0,2.57E-11,3.00E-05,-1.0,0,0,345564,185706,159858,0
